timestamp,unix_timestamp,relative_time,total_latency_ms,throughput
17:21:44,1778145704.9612677,4,668.0,0.0
17:21:46,1778145706.9658556,6,2331.0,0.0
17:21:48,1778145708.9721951,8,3096.0,0.0
17:21:50,1778145710.9774044,10,2976.0,17308.933333333334
17:21:52,1778145712.9833453,12,2976.0,17308.933333333334
17:21:54,1778145714.9887161,14,6107.0,27683.7
17:21:56,1778145716.9944801,16,6107.0,31929.0
17:21:59,1778145719.007541,18,6107.0,31929.0
17:22:01,1778145721.0153992,20,6798.0,45380.36666666667
17:22:03,1778145723.02196,22,6798.0,45380.36666666667
17:22:05,1778145725.0287411,24,7237.0,56983.76666666666
17:22:07,1778145727.047907,26,7237.0,56983.76666666666
17:22:09,1778145729.057244,28,7237.0,56983.76666666666
17:22:11,1778145731.0627398,30,8862.0,64446.8
17:22:13,1778145733.066219,32,8862.0,64446.8
17:22:15,1778145735.070834,34,8911.0,76404.03333333334
17:22:17,1778145737.0828266,36,8911.0,76404.03333333334
17:22:19,1778145739.0862656,38,8911.0,76404.03333333334
17:22:21,1778145741.0911608,40,7796.0,87988.3
17:22:23,1778145743.0959857,42,7796.0,87988.3
17:22:25,1778145745.104022,44,8284.0,101644.7
17:22:27,1778145747.1131928,46,8284.0,101644.7
17:22:29,1778145749.1197336,48,8284.0,101644.7
17:22:31,1778145751.125831,50,10961.0,115567.63333333333
17:22:33,1778145753.135256,52,10961.0,115567.63333333333
17:22:35,1778145755.140632,54,12965.0,129361.23333333334
17:22:37,1778145757.148993,56,12965.0,129361.23333333334
17:22:39,1778145759.1572213,58,13024.0,129361.23333333334
17:22:41,1778145761.16844,60,14346.0,140394.16666666666
17:22:43,1778145763.1727874,62,14346.0,140394.16666666666
17:22:45,1778145765.176245,64,15414.0,150890.26666666666
17:22:47,1778145767.1810591,66,15414.0,150890.26666666666
17:22:49,1778145769.1847417,68,15414.0,150890.26666666666
17:22:51,1778145771.1884584,70,15664.0,145682.06666666668
17:22:53,1778145773.1922593,72,15664.0,145682.06666666668
17:22:55,1778145775.1963208,74,14462.0,142211.3
17:22:57,1778145777.2083988,76,14462.0,142211.3
17:22:59,1778145779.2213433,78,16037.0,143066.0
17:23:01,1778145781.2258759,80,16037.0,142084.3
17:23:03,1778145783.2290375,82,16037.0,142084.3
17:23:05,1778145785.232348,84,18379.0,142233.3
17:23:07,1778145787.2446039,86,18379.0,142233.3
17:23:09,1778145789.2528708,88,19940.0,146520.2
17:23:11,1778145791.2618206,90,19940.0,149165.1
17:23:13,1778145793.2659957,92,19940.0,149165.1
17:23:15,1778145795.2730942,94,23080.0,147221.86666666667
17:23:17,1778145797.2909908,96,23080.0,147221.86666666667
17:23:19,1778145799.3043973,98,21496.0,146174.0
17:23:21,1778145801.3099663,100,21609.0,146862.9
17:23:23,1778145803.3191915,102,21609.0,146862.9
17:23:25,1778145805.325033,104,20911.0,142984.13333333333
17:23:27,1778145807.3289373,106,20911.0,142984.13333333333
17:23:29,1778145809.337064,108,22102.0,142715.3
17:23:31,1778145811.3608966,110,22102.0,143713.13333333333
17:23:33,1778145813.3719058,112,22102.0,143713.13333333333
17:23:35,1778145815.3848214,114,23157.0,143000.46666666667
17:23:37,1778145817.3949945,116,23157.0,143000.46666666667
17:23:39,1778145819.4045837,118,23901.0,144223.43333333335
17:23:41,1778145821.4132411,120,23901.0,142528.4
17:23:43,1778145823.4197185,122,23901.0,142528.4
17:23:45,1778145825.4255257,124,24832.0,140364.13333333333
17:23:47,1778145827.4359624,126,24832.0,140364.13333333333
17:23:49,1778145829.4442492,128,27708.0,140996.0
17:23:51,1778145831.451885,130,27708.0,140764.96666666667
17:23:53,1778145833.465518,132,27708.0,140764.96666666667
17:23:55,1778145835.472656,134,30515.0,146216.3
17:23:57,1778145837.488234,136,30515.0,146216.3
17:23:59,1778145839.4928803,138,31023.0,144496.66666666666
17:24:01,1778145841.5024183,140,31023.0,144444.13333333333
17:24:03,1778145843.509679,142,31023.0,144444.13333333333
17:24:05,1778145845.5164099,144,30143.0,144491.13333333333
17:24:07,1778145847.52921,146,30143.0,144491.13333333333
17:24:09,1778145849.5351875,148,29388.0,141553.53333333333
17:24:11,1778145851.549355,150,29388.0,140248.9
17:24:13,1778145853.5650597,152,29388.0,140248.9
17:24:15,1778145855.5741959,154,30984.0,144768.43333333335
17:24:17,1778145857.577489,156,30984.0,144768.43333333335
17:24:19,1778145859.584301,158,32331.0,144536.83333333334
17:24:21,1778145861.5879369,160,32331.0,144065.43333333335
17:24:23,1778145863.5921109,162,32331.0,144065.43333333335
17:24:25,1778145865.597618,164,35291.0,147230.33333333334
17:24:27,1778145867.6046116,166,35291.0,147230.33333333334
17:24:29,1778145869.6089797,168,37752.0,147830.53333333333
17:24:31,1778145871.6159651,170,37956.0,147795.96666666667
17:24:33,1778145873.628056,172,37956.0,147795.96666666667
17:24:35,1778145875.63743,174,37783.0,146877.5
17:24:37,1778145877.6501296,176,37783.0,146877.5
17:24:39,1778145879.66592,178,36921.0,146459.33333333334
17:24:41,1778145881.677714,180,36921.0,146835.33333333334
