✅ Query: Q7 → Job: Nexmark_Q7_Isolated__Benchmark_Driver_
✅ 輸出路徑: /home/yenwei/research/structure_setup/results/run_20260507_162444/propose
✅ CSV 路徑: /home/yenwei/research/structure_setup/results/run_20260507_162444/propose/latency_data.csv
開始監控 Job: Nexmark_Q7_Isolated__Benchmark_Driver_
數據將存儲至: /home/yenwei/research/structure_setup/results/run_20260507_162444/propose
等待 Flink 指標數據 (Job 可能正在重啟中)...
[16:27:19] Time: 136s | Total Latency: 28678.00 ms | Throughput: 143810.70 records/s
[16:27:21] Time: 138s | Total Latency: 29342.00 ms | Throughput: 141226.73 records/s
[16:27:23] Time: 140s | Total Latency: 29342.00 ms | Throughput: 141982.90 records/s
[16:27:25] Time: 142s | Total Latency: 29342.00 ms | Throughput: 141982.90 records/s
[16:27:27] Time: 144s | Total Latency: 29116.00 ms | Throughput: 140831.03 records/s
[16:27:29] Time: 146s | Total Latency: 29116.00 ms | Throughput: 139132.43 records/s
[16:27:31] Time: 148s | Total Latency: 29725.00 ms | Throughput: 139424.07 records/s
[16:27:33] Time: 150s | Total Latency: 29725.00 ms | Throughput: 138122.07 records/s
[16:27:35] Time: 152s | Total Latency: 29725.00 ms | Throughput: 138122.07 records/s
[16:27:37] Time: 154s | Total Latency: 31363.00 ms | Throughput: 138549.10 records/s
[16:27:39] Time: 156s | Total Latency: 31363.00 ms | Throughput: 138816.20 records/s
[16:27:41] Time: 158s | Total Latency: 33995.00 ms | Throughput: 141058.47 records/s
[16:27:43] Time: 160s | Total Latency: 33995.00 ms | Throughput: 139324.10 records/s
[16:27:45] Time: 162s | Total Latency: 33995.00 ms | Throughput: 139324.10 records/s
[16:27:47] Time: 164s | Total Latency: 34650.00 ms | Throughput: 142873.73 records/s
[16:27:49] Time: 166s | Total Latency: 34650.00 ms | Throughput: 145662.60 records/s
[16:27:51] Time: 168s | Total Latency: 34980.00 ms | Throughput: 144938.93 records/s
[16:27:53] Time: 170s | Total Latency: 34980.00 ms | Throughput: 147084.63 records/s
[16:27:55] Time: 172s | Total Latency: 34980.00 ms | Throughput: 147084.63 records/s
[16:27:57] Time: 174s | Total Latency: 36124.00 ms | Throughput: 145903.20 records/s
[16:27:59] Time: 176s | Total Latency: 36124.00 ms | Throughput: 143892.40 records/s
[16:28:01] Time: 178s | Total Latency: 38232.00 ms | Throughput: 143006.90 records/s
[16:28:03] Time: 180s | Total Latency: 38232.00 ms | Throughput: 142812.27 records/s
[16:28:05] Time: 182s | Total Latency: 38232.00 ms | Throughput: 142812.27 records/s
[16:28:07] Time: 184s | Total Latency: 37276.00 ms | Throughput: 142711.30 records/s
[16:28:09] Time: 186s | Total Latency: 37276.00 ms | Throughput: 143922.13 records/s
[16:28:11] Time: 188s | Total Latency: 38283.00 ms | Throughput: 141359.93 records/s
[16:28:13] Time: 190s | Total Latency: 38283.00 ms | Throughput: 143373.53 records/s
[16:28:15] Time: 192s | Total Latency: 38283.00 ms | Throughput: 143373.53 records/s
[16:28:17] Time: 194s | Total Latency: 38809.00 ms | Throughput: 145016.50 records/s
[16:28:19] Time: 196s | Total Latency: 38809.00 ms | Throughput: 141917.40 records/s
[16:28:21] Time: 198s | Total Latency: 41851.00 ms | Throughput: 144578.20 records/s
[16:28:23] Time: 200s | Total Latency: 41851.00 ms | Throughput: 142299.60 records/s
[16:28:25] Time: 202s | Total Latency: 41951.00 ms | Throughput: 142299.60 records/s
[16:28:27] Time: 204s | Total Latency: 42661.00 ms | Throughput: 144099.30 records/s
[16:28:29] Time: 206s | Total Latency: 42661.00 ms | Throughput: 145498.03 records/s
[16:28:31] Time: 208s | Total Latency: 43725.00 ms | Throughput: 143241.63 records/s
[16:28:33] Time: 210s | Total Latency: 43725.00 ms | Throughput: 142525.30 records/s
[16:28:35] Time: 212s | Total Latency: 43725.00 ms | Throughput: 142525.30 records/s
[16:28:37] Time: 214s | Total Latency: 42767.00 ms | Throughput: 143034.23 records/s
[16:28:39] Time: 216s | Total Latency: 42767.00 ms | Throughput: 143383.87 records/s
[16:28:41] Time: 218s | Total Latency: 45266.00 ms | Throughput: 140718.70 records/s
[16:28:44] Time: 220s | Total Latency: 45266.00 ms | Throughput: 141244.67 records/s
[16:28:46] Time: 222s | Total Latency: 4831.00 ms | Throughput: 76311.63 records/s
[16:28:48] Time: 224s | Total Latency: 4831.00 ms | Throughput: 39572.70 records/s
等待 Flink 指標數據 (Job 可能正在重啟中)...
等待 Flink 指標數據 (Job 可能正在重啟中)...
等待 Flink 指標數據 (Job 可能正在重啟中)...
[16:28:56] Time: 232s | Total Latency: 52710.00 ms | Throughput: 0.00 records/s
[16:28:58] Time: 234s | Total Latency: 52710.00 ms | Throughput: 0.00 records/s
[16:29:00] Time: 236s | Total Latency: 54715.00 ms | Throughput: 0.00 records/s
[16:29:02] Time: 238s | Total Latency: 56740.00 ms | Throughput: 3549.50 records/s
[16:29:04] Time: 240s | Total Latency: 58529.00 ms | Throughput: 8300.00 records/s
[16:29:06] Time: 243s | Total Latency: 59886.00 ms | Throughput: 15773.60 records/s
[16:29:08] Time: 245s | Total Latency: 59886.00 ms | Throughput: 22680.83 records/s
[16:29:10] Time: 247s | Total Latency: 59886.00 ms | Throughput: 30482.43 records/s
[16:29:12] Time: 249s | Total Latency: 59902.00 ms | Throughput: 39572.10 records/s
