✅ Query: Q7 → Job: Nexmark_Q7_Isolated__Benchmark_Driver_
✅ 輸出路徑: /home/yenwei/research/structure_setup/results/run_20260507_154550/baseline
✅ CSV 路徑: /home/yenwei/research/structure_setup/results/run_20260507_154550/baseline/latency_data.csv
開始監控 Job: Nexmark_Q7_Isolated__Benchmark_Driver_
數據將存儲至: /home/yenwei/research/structure_setup/results/run_20260507_154550/baseline
等待 Flink 指標數據 (Job 可能正在重啟中)...
[17:02:58] Time: 138s | Total Latency: 778.00 ms | Throughput: 159364.83 records/s
[17:03:00] Time: 140s | Total Latency: 778.00 ms | Throughput: 159364.83 records/s
[17:03:02] Time: 142s | Total Latency: 778.00 ms | Throughput: 160349.10 records/s
[17:03:04] Time: 144s | Total Latency: 764.00 ms | Throughput: 160199.03 records/s
[17:03:06] Time: 146s | Total Latency: 764.00 ms | Throughput: 158865.70 records/s
[17:03:08] Time: 148s | Total Latency: 771.00 ms | Throughput: 159749.23 records/s
[17:03:10] Time: 150s | Total Latency: 771.00 ms | Throughput: 159749.23 records/s
[17:03:12] Time: 152s | Total Latency: 869.00 ms | Throughput: 159415.90 records/s
[17:03:14] Time: 154s | Total Latency: 869.00 ms | Throughput: 159390.75 records/s
[17:03:16] Time: 156s | Total Latency: 770.00 ms | Throughput: 159522.48 records/s
[17:03:18] Time: 158s | Total Latency: 754.00 ms | Throughput: 160174.87 records/s
[17:03:20] Time: 160s | Total Latency: 754.00 ms | Throughput: 160174.87 records/s
[17:03:22] Time: 162s | Total Latency: 766.00 ms | Throughput: 159833.33 records/s
[17:03:24] Time: 164s | Total Latency: 766.00 ms | Throughput: 159166.67 records/s
[17:03:26] Time: 166s | Total Latency: 767.00 ms | Throughput: 158892.63 records/s
[17:03:28] Time: 168s | Total Latency: 851.00 ms | Throughput: 160333.33 records/s
[17:03:30] Time: 170s | Total Latency: 851.00 ms | Throughput: 160333.33 records/s
[17:03:32] Time: 172s | Total Latency: 851.00 ms | Throughput: 159015.37 records/s
[17:03:34] Time: 174s | Total Latency: 759.00 ms | Throughput: 159848.70 records/s
[17:03:36] Time: 176s | Total Latency: 815.00 ms | Throughput: 158439.40 records/s
[17:03:38] Time: 178s | Total Latency: 815.00 ms | Throughput: 160409.70 records/s
[17:03:40] Time: 180s | Total Latency: 815.00 ms | Throughput: 160409.70 records/s
[17:03:42] Time: 182s | Total Latency: 762.00 ms | Throughput: 159480.20 records/s
[17:03:44] Time: 184s | Total Latency: 762.00 ms | Throughput: 159913.63 records/s
[17:03:46] Time: 186s | Total Latency: 762.00 ms | Throughput: 158141.10 records/s
[17:03:48] Time: 188s | Total Latency: 906.00 ms | Throughput: 160333.33 records/s
