timestamp,unix_timestamp,relative_time,total_latency_ms,throughput
18:58:22,1778151502.3506474,2,3189.0,0.0
18:58:24,1778151504.354653,4,3189.0,0.0
18:58:26,1778151506.3613007,6,5042.0,0.0
18:58:28,1778151508.369338,8,6723.0,1056.15
18:58:30,1778151510.3746455,10,6723.0,3142.2833333333333
18:58:32,1778151512.379191,12,8028.0,9047.7
18:58:34,1778151514.3907876,14,8028.0,9047.7
18:58:36,1778151516.3953667,16,8903.0,15867.133333333333
18:58:38,1778151518.3995755,18,10068.0,17603.783333333333
18:58:40,1778151520.4029822,20,10068.0,19755.633333333335
18:58:42,1778151522.4127324,22,13159.0,25298.783333333333
18:58:44,1778151524.4263678,24,13159.0,25298.783333333333
18:58:46,1778151526.441424,26,14893.0,29239.6
18:58:48,1778151528.4459605,28,15863.0,30555.716666666667
18:58:50,1778151530.4615765,30,15863.0,32270.516666666666
18:58:52,1778151532.4649222,32,17786.0,37172.3
18:58:54,1778151534.468479,34,17786.0,37172.3
18:58:56,1778151536.4721224,36,18546.0,42321.78333333333
18:58:58,1778151538.4754963,38,18903.0,44014.55
18:59:00,1778151540.4791493,40,18903.0,46345.65
18:59:02,1778151542.4822257,42,18465.0,52445.916666666664
18:59:04,1778151544.4854178,44,18465.0,52445.916666666664
18:59:06,1778151546.491412,46,20393.0,57623.2
18:59:08,1778151548.5010777,48,20393.0,59130.46666666667
18:59:10,1778151550.5078495,50,20393.0,61049.28333333333
18:59:12,1778151552.5212772,52,21607.0,66164.16666666667
18:59:14,1778151554.5402172,54,21607.0,66164.16666666667
18:59:16,1778151556.545467,56,23547.0,71441.05
18:59:18,1778151558.5598483,58,23607.0,72869.15
18:59:20,1778151560.5660968,60,23607.0,74429.31666666667
18:59:22,1778151562.5702667,62,26662.0,78732.91666666667
18:59:24,1778151564.574942,64,26662.0,78732.91666666667
18:59:26,1778151566.582054,66,28677.0,84129.13333333333
18:59:28,1778151568.5901694,68,28677.0,84676.01666666666
18:59:30,1778151570.5945075,70,28677.0,84231.78333333333
18:59:32,1778151572.5972223,72,30663.0,82655.33333333333
18:59:34,1778151574.600553,74,30663.0,82655.33333333333
18:59:36,1778151576.6058478,76,32820.0,80958.43333333333
18:59:38,1778151578.615584,78,32820.0,80948.28333333334
18:59:40,1778151580.6304786,80,32820.0,81090.11666666667
