✅ Query: Q5 → Job: Nexmark_Q5_Isolated__Migration_Test_
✅ 輸出路徑: /home/yenwei/research/structure_setup/results/run_20260507_185802/propose
✅ CSV 路徑: /home/yenwei/research/structure_setup/results/run_20260507_185802/propose/latency_data.csv
開始監控 Job: Nexmark_Q5_Isolated__Migration_Test_
數據將存儲至: /home/yenwei/research/structure_setup/results/run_20260507_185802/propose
等待 Flink 指標數據 (Job 可能正在重啟中)...
[19:00:36] Time: 136s | Total Latency: 46563.00 ms | Throughput: 104971.10 records/s
[19:00:38] Time: 138s | Total Latency: 47188.00 ms | Throughput: 105648.62 records/s
[19:00:40] Time: 140s | Total Latency: 47188.00 ms | Throughput: 108097.08 records/s
[19:00:42] Time: 142s | Total Latency: 48555.00 ms | Throughput: 108829.97 records/s
[19:00:44] Time: 144s | Total Latency: 48555.00 ms | Throughput: 108829.97 records/s
[19:00:46] Time: 146s | Total Latency: 48555.00 ms | Throughput: 112416.98 records/s
[19:00:48] Time: 148s | Total Latency: 49779.00 ms | Throughput: 113197.95 records/s
[19:00:50] Time: 150s | Total Latency: 49779.00 ms | Throughput: 116886.57 records/s
[19:00:52] Time: 152s | Total Latency: 51842.00 ms | Throughput: 117066.80 records/s
[19:00:54] Time: 154s | Total Latency: 51842.00 ms | Throughput: 117066.80 records/s
[19:00:56] Time: 156s | Total Latency: 51842.00 ms | Throughput: 114508.03 records/s
[19:00:58] Time: 158s | Total Latency: 53314.00 ms | Throughput: 113667.33 records/s
[19:01:00] Time: 160s | Total Latency: 53314.00 ms | Throughput: 109171.55 records/s
[19:01:02] Time: 162s | Total Latency: 53142.00 ms | Throughput: 109482.50 records/s
[19:01:05] Time: 164s | Total Latency: 53142.00 ms | Throughput: 109482.50 records/s
[19:01:07] Time: 166s | Total Latency: 52871.00 ms | Throughput: 23472.00 records/s
等待 Flink 指標數據 (Job 可能正在重啟中)...
等待 Flink 指標數據 (Job 可能正在重啟中)...
[19:01:13] Time: 172s | Total Latency: 60542.00 ms | Throughput: 0.00 records/s
[19:01:15] Time: 174s | Total Latency: 61425.00 ms | Throughput: 0.00 records/s
[19:01:17] Time: 176s | Total Latency: 61519.00 ms | Throughput: 0.00 records/s
[19:01:19] Time: 178s | Total Latency: 62352.00 ms | Throughput: 1398.03 records/s
[19:01:21] Time: 180s | Total Latency: 62352.00 ms | Throughput: 11359.27 records/s
[19:01:23] Time: 182s | Total Latency: 63592.00 ms | Throughput: 12708.15 records/s
[19:01:25] Time: 184s | Total Latency: 63592.00 ms | Throughput: 12708.15 records/s
[19:01:27] Time: 186s | Total Latency: 63592.00 ms | Throughput: 22990.13 records/s
[19:01:29] Time: 188s | Total Latency: 65221.00 ms | Throughput: 24743.17 records/s
